2020;;;;
;företag;yahoo ticker;teckningskurs;
;fasadgruppen;FG.ST;60;
;nordnet;SAVE.ST;96;
;nordic paper;NPAPER.ST;43;
;wästbygg;WBGR-B.ST;96;
;readly;READ.ST;59;
;;;;
2019;;;;
;k-fastigheter;KFAST-B.ST;105/6;aktiesplit 6:1, teckningskursen var 105 kr
;EQT;EQT.ST;67;
;Traton;8TRA.ST;321.02 (27 eur);
;John Mattson Fast;JOMA.ST;90;
;;;;
2018;;;;
;Q-linea;QLINEA.ST;68;
;Lime technologies;LIME.ST;72;
;Projektengagemang Sweden;PENG-B.ST;47;
;Arion banki;ARION-SDB.ST;6.17 (75 ISK);
;Better Collective A/S;BETCO.ST;54;
;NCAB Group;NCAB.ST; 75/10;aktiesplit 10:1, teckningskursen var 75
;BHG Group;BHG.ST;47.5;
;;;;
2017;;;;
;Ferronordic machines ;FNM.ST;150;
;bioartic;BIOA-B.ST;24;lite tvek
;Balco group;BALCO.ST;56;
;Bonesupport;BONEX.ST;29;
;Boozt ;BOOZT.ST;62;
;Medicover;MCOV-B.ST;56;
;Munters;MTRS.ST;55;
;Instalco;INSTAL.ST; 55/5;aktiesplit 5:1, teckningskursen var 55
;FM Mattson Mora;FMM-B.ST;68;
;Actic Group AB;ATIC.ST;50.5;
;Ambea ;AMBEA.ST;75;
;MIPS;MIPS.ST;46;
;Oncopeptides;ONCO.ST;46;
;;;;
2016;;;;
;AcadeMedia;ACAD.ST;40;
;TF Bank;TFBANK.ST;77;
;Nordic Waterproofing;NWG.ST;71;
;Resurs Holding;RESURS.ST;55;
;Humana;HUM.ST;62;
;Garo;GARO.ST; 73/5;aktiesplit 5:1, teckningskursen var 73 kr